Title,Old Url,New Url,Status,Notes,Group,Name,Whole Tag,Suggested Links
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/Councilandhousingassociationhomes/Councilhousing/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/BuyingAndSellingYourHome/Leaseholdproperties/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Parents/HavingABaby/AfterTheBirth/DG_189252CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/InYourHome/Dealingwithemergencies/,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/CrimeJusticeAndTheLaw/CrimeStatistics/DG_181520CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/CrimeJusticeAndTheLaw/CounterTerrorism/DG_181897CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/CrimeJusticeAndTheLaw/CounterTerrorism/DG_181896CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Yourrightsandresponsibilities/Discrimination-yourrights/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Yourrightsandresponsibilities/Freedomofinformationanddataprotection/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Yourrightsandresponsibilities/Makingcomplaints-yourrights/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/LookingAfterYourself/DG_10026825CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/TravelAndLeisure/TravellingAtHomeAndAbroad/DG_10026845CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/en/YoungPeople/Youthfunds/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/Councilandhousingassociationhomes/Rentarrearsandeviction/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/Councilandhousingassociationhomes/Rentarrearsandeviction/DG_188733CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/InYourHome/Dealingwithemergencies/Supportafteramajorincident/,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/Gettinginvolvedinyourcommunity/Charities/Startingacharity/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/Gettinginvolvedinyourcommunity/Charities/Complaintsaboutcharities/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/en/HomeAndCommunity/Gettinginvolvedinyourcommunity/Charitiesandcommunitygroups/,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/TravelAndLeisure/TravellingAtHomeAndAbroad/DG_10026846CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/HomeAndCommunity/SupportedHousingAndCareHomes/DG_10027573CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_185624CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/PlanningForRetirement/AboutToRetire/DG_10026935CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/en/TravelAndTransport/Publictransport/TrafficManagement/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Over50HealthAndWellBeing/LookingAfterYourself/DG_10026833CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/RightsAndResponsibilities/Citizensandgovernment/DG_072605CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/PlanningForRetirement/AboutToRetire/DG_10021384CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/EndOfLife/WhatToDoAfterADeath/DG_10027878CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Yourrightsandresponsibilities/Discrimination-yourrights/DG_195201CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Situationsthatcanchangeyourconsumerrights/DG_194562CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Situationsthatcanchangeyourconsumerrights/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Situationsthatcanchangeyourconsumerrights/DG_195361CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Holidaysandtravel-yourconsumerrights/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Personalfinance-yourconsumerrights/DG_195731CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Personalfinance-yourconsumerrights/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Holidaysandtravel-yourconsumerrights/DG_195950CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/PostalServices-yourconsumerrights/DG_196258CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Personalfinance-yourconsumerrights/DG_194968CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Personalfinance-yourconsumerrights/DG_195392CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/PostalServices-yourconsumerrights/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/PostalServices-yourconsumerrights/DG_196257CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Protectyourselffromscams/DG_195960CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Protectyourselffromscams/DG_195967CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Protectyourselffromscams/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Situationsthatcanchangeyourconsumerrights/DG_194925CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Situationsthatcanchangeyourconsumerrights/DG_195116CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Governmentcitizensandrights/Consumerrights/Situationsthatcanchangeyourconsumerrights/DG_194919CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Parents/HavingABaby/Givingbirth/DG_171268CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/en/DisabledPeople/HealthAndSupport/YourRightsInHealth/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/HomeAndCommunity/Carers/DG_10026855CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Pensionsandretirementplanning/Learning/LearningAtWork/DG_10027109CY,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
