Name,Subdomains,Host,Leave,redirect URL
,3g.direct.gov.uk,www.direct.gov.uk.edgesuite.net,Leave,
,actonco2.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,adminnationalcareersservice.direct.gov.uk,,Leave,
,agencyworkers.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,api.childmaintenanceservice.direct.gov.uk,,Leave,
,backtowork.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,benefits-adviser.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Other redirect destination,https://www.gov.uk/benefits-adviser
,benefitsadviser.direct.gov.uk,66.54.40.85,Leave,
,benefitsadvisor.direct.gov.uk,66.54.40.85,Leave,
,beplantwise.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Other redirect destination,https://secure.fera.defra.gov.uk/nonnativespecies/beplantwise/
Your future wallet,betterfuture.direct.gov.uk,Other redirect destination,https://www.gov.uk/browse/working/workplace-personal-pensions
Apply for a Blue Badge online,bluebadge.direct.gov.uk,152.114.70.62,Leave,
,bluebadge2.direct.gov.uk,,Leave,
,brand.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,bursarymap.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,businesslink.innovate.direct.gov.uk,94.236.94.60,Leave,
,buyerbeware.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,campaigns.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,TBC,
,campaigns2.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
Carbon Calculator,carboncalculator.direct.gov.uk,actonco2.amee.com,Leave,
,careandsupport.direct.gov.uk,80.68.94.36,Redirect to GONE,
,careersadvice-findacourse.direct.gov.uk,208.51.44.80,Redirect to GONE,
,careersadvice-findacourse1.direct.gov.uk,208.51.44.80,Redirect to GONE,
,careersadvice-findacourse2.direct.gov.uk,208.51.44.80,Redirect to GONE,
,careersadvice.direct.gov.uk,208.51.44.80,Redirect to GONE,
Car fuel data,carfueldata.direct.gov.uk,81.17.75.65,Leave,
,charitysearch.direct.gov.uk,188.92.136.20,Redirect to GONE,
,childcare.direct.gov.uk,dcs-vml-web-l02.server-farm.dcsf.gov.uk,Leave,
,childcarefinder.direct.gov.uk,dcs-vml-web-l02.server-farm.dcsf.gov.uk,Leave,
,childinternetsafety.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,childmaintenanceservice.direct.gov.uk,207.37.200.216,Redirect to GONE,
Childrens centre finder,childrenscentresfinder.direct.gov.uk,dcs-vml-web-l02.server-farm.dcsf.gov.uk,Leave,
,childsafety.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,chwiliadgwaith.direct.gov.uk,,Redirect to GONE,
,clickcleverclicksafe.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,co2calculator.direct.gov.uk,,Redirect to GONE,
,colleges.direct.gov.uk,dcs-vml-web-l02.server-farm.dcsf.gov.uk,Redirect to GONE,
,communitypayback.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,consultations-crawl.direct.gov.uk,sadg-crawler.sa-alias.co.uk,Redirect to GONE,
,consultations.direct.gov.uk,sadg-gsa.sa-alias.co.uk,Other redirect destination,https://www.gov.uk/government/consultations
,consultations1.direct.gov.uk,sadg-nonjs.sa-alias.co.uk,Redirect to GONE,
,consumer-forms.direct.gov.uk,80.86.42.52,Redirect to GONE,
,consumer-tools.direct.gov.uk,80.86.42.51,Redirect to GONE,
,countdowntouni.direct.gov.uk,89.234.46.201,Redirect to GONE,
Court fines,courtfines.direct.gov.uk,80.86.42.51,Leave,
,ctt.theorytest.direct.gov.uk,159.182.112.180,Leave,
Tell Us Once,death-tellusonce.direct.gov.uk,,Leave,
,dev-ema.direct.gov.uk,195.188.239.44,Redirect to GONE,
,dev-moneytolearn.direct.gov.uk,195.188.239.44,Redirect to GONE,
,diplomas.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
,directories.direct.gov.uk,109.123.78.222,Redirect to GONE,
,ditv.direct.gov.uk,ditv.alu-ntt-hosting.co.uk,Redirect to GONE,
,dontbringmeback.direct.gov.uk,steria-dg-prod.lbwa.ntt.net,Redirect to GONE,
