TxnId,New Url
cftx7,https://online.contractsfinder.businesslink.gov.uk/Common/Edit Email Preferences.aspx
cib,http://bl.insolvency.gov.uk/RebrandedEnforcementHotline/hotlineform.asp
compsearch,http://www.businesslink.innovateuk.org/competitions-search
courtfinder,http://www.hmcourts-service.gov.uk/HMCSCourtFinder/
cpcDelegated,https://dsa.dft.gov.uk/delegated
cpcRecord,https://dsa.dft.gov.uk/cpctrain
cpfregistration,https://secureonline.dwp.gov.uk/tps-businesslink/en/pension-forecast/home.asp
cpfregistrationcy,https://secureonline.dwp.gov.uk/tps-businesslink/cy/pension-forecast/home.asp
crosscomp,https://secure.services.defra.gov.uk/wfacomp/routing?target=XCS
csft,https://secure.services.defra.gov.uk/wfacomp/routing?target=CSF
ctsenrol,https://secure.services.defra.gov.uk/wps/portal/wfactso/HoldingEnrolments
dangerousgoods,http://www.dft.gov.uk/dangerous-goods-database/
edomero,http://edomero.defra.gov.uk/
edon,https://edon.businesslink.gov.uk/gateway.aspx?xgovr3h=edon&xgovk3w=bl1000
edonw,https://edon.businesslink.gov.uk/Edon/setLocale.do?country=GB&amp;language=cy&amp;page=/initialise.do
efor,https://batransandbareports.voa.gov.uk/for6003_app_pres_ApplicationWeb/viewIdentityFORAction.do?
eiir,http://bl.insolvency.gov.uk/eiir/
elstewardship,https://secure.services.defra.gov.uk/wps/portal/wfa/ELSOnline
esdal,https://esdal.dft.gov.uk/public-4-008/login.do?method=login
etest2a,https://www.transportoffice.gov.uk/ccpsWeb/appmanager/ccps/desktopCRT?_nfpb=true&amp;_nfto=false&amp;_nfls=false&amp;_pageLabel=pageSVC_UNREG_TEST_BOOKINGS&amp;AServiceAccess=130
etest2b,https://www.transportoffice.gov.uk/ccpsWeb/appmanager/ccps/desktopCRT?_nfpb=true&amp;_nfto=false&amp;_nfls=false&amp;_pageLabel=pageRegistration
findor,http://bl.insolvency.gov.uk/rebrandedorsearch/oraddresssearch.asp
fip,http://bl.insolvency.gov.uk/fip/
foodstandard,https://secure.services.defra.gov.uk/wfacomp/routing?target=FSG
formfinder,http://www.hmcourts-service.gov.uk/HMCSCourtFinder/FormFinder.do
formorder,http://www.dvla.gov.uk/onlineservices/order_forms.aspx?ext=bl
frr,http://bl.fuelreadyreckoner.org.uk/
inforightsdsnsearch,http://www.informationtribunal.gov.uk/bl/Public/search.aspx
insscomplain,http://bl.insolvency.gov.uk/RebrandedComplaintForm/complaintform.asp
inssenforcement,http://bl.insolvency.gov.uk/Rebrandedeiir
ipo,https://www.ipo.gov.uk/types/patent/p-os/p-apply-online/p-apply-online-uk-filingsystem/p-apply-online-sfd-checklist/p-apply-online-sfd-form.htm
ipohealthcheck,http://www.ipo.gov.uk/bl-ipdiag-start.htm
irdtApply,https://dsa.dft.gov.uk/irdta
irdtMaintain,https://dsa.dft.gov.uk/irdtm
jobwarehouse,https://jobwarehouse.businesslink.gov.uk/gateway.aspx
lai,https://www.tan.gov.uk/Operator/authfiles/vosa_local_auth_login.asp
lbopsearch,http://www.tan.gov.uk/tanen/VOSA_AnonymousOperatorSearch_New.asp
los,http://los.dwp.gov.uk
ndsweb,https://dlcu.homeoffice.gov.uk/Default.aspx
nmodocsearch,http://www.nmodoitonline.bis.gov.uk/legislation.aspx
nmofindbody,http://www.nmodoitonline.bis.gov.uk/InstrumentSearch.aspx
nvz,https://secure.services.defra.gov.uk/wfacomp/routing?target=NVA
nvzderog,https://secure.services.defra.gov.uk/wfacomp/routing?target=NVD
oftcodesearch,https://bl.oft-tools.oft.gov.uk/consumer-advice/approved-codes-explained/business-search/
olpubsearch,http://www.tan.gov.uk/tanen/VOSA_AnonymousPublicationSearch_New.asp
oplicss,https://www.tan.gov.uk/Operator/AuthFiles/VOSA_Login.asp
partnerss,https://www.tan.gov.uk/Partner/authfiles/vosa_login.asp
patentform1,http://www.ipo.gov.uk/bl-p-apply-online-uk-form-start
patentsfd,http://www.ipo.gov.uk/bl-p-apply-online-sfd-form-start
patentstatusenquiry,http://www.ipo.gov.uk/bl-p-find-number-start
peach,http://ehmipeach.defra.gov.uk
pensionsleaflets,https://secureonline.dwp.gov.uk/tps-businesslink/en/leaflet-ordering-online/orderform-step1.asp
pensionsleafletscy,https://secureonline.dwp.gov.uk/tps-businesslink/cy/leaflet-ordering-online/orderform-step1.asp
prccasearch,http://bl.credit-register.oft.gov.uk/pr/default.aspx
queensawards,https://queensawards.bis.gov.uk
r2010,http://www.2010.voa.gov.uk/rli
reg_wizard,https://businesslink-online.hmrc.gov.uk/registration/newbusiness/introduction?lang=eng
