Site,Name,Source
dwp_statistics,current,https://raw.github.com/alphagov/redirector/master/data/mappings/dwp_statistics.csv
dwp_statistics,trump,https://raw.github.com/alphagov/redirector-data/master/dwp_statistics/trump.csv
fco,extras,https://raw.github.com/alphagov/redirector-data/master/fco/extras.csv
fco,current,https://raw.github.com/alphagov/redirector/master/data/mappings/fco.csv
fco,trump,https://raw.github.com/alphagov/redirector-data/master/fco/trump.csv
hmrc,extras,https://raw.github.com/alphagov/redirector-data/master/hmrc/extras.csv
hmrc,current,https://raw.github.com/alphagov/redirector/master/data/mappings/hmrc.csv
hmrc,trump,https://raw.github.com/alphagov/redirector-data/master/hmrc/trump.csv
homeoffice,extras,https://raw.github.com/alphagov/redirector-data/master/homeoffice/extras.csv
homeoffice,current,https://raw.github.com/alphagov/redirector/master/data/mappings/homeoffice.csv
homeoffice,trump,https://raw.github.com/alphagov/redirector-data/master/homeoffice/trump.csv
mod,extras,https://raw.github.com/alphagov/redirector-data/master/mod/extras.csv
mod,current,https://raw.github.com/alphagov/redirector/master/data/mappings/mod.csv
mod,trump,https://raw.github.com/alphagov/redirector-data/master/mod/trump.csv
moj,extras,https://raw.github.com/alphagov/redirector-data/master/moj/extras.csv
moj,current,https://raw.github.com/alphagov/redirector/master/data/mappings/moj.csv
moj,trump,https://raw.github.com/alphagov/redirector-data/master/moj/trump.csv
nio,extras,https://raw.github.com/alphagov/redirector-data/master/nio/extras.csv
nio,current,https://raw.github.com/alphagov/redirector/master/data/mappings/nio.csv
nio,trump,https://raw.github.com/alphagov/redirector-data/master/nio/trump.csv
number10,extras,https://raw.github.com/alphagov/redirector-data/master/number10/extras.csv
number10,current,https://raw.github.com/alphagov/redirector/master/data/mappings/number10.csv
number10,trump,https://raw.github.com/alphagov/redirector-data/master/number10/trump.csv
oag,extras,https://raw.github.com/alphagov/redirector-data/master/oag/extras.csv
oag,current,https://raw.github.com/alphagov/redirector/master/data/mappings/oag.csv
oag,trump,https://raw.github.com/alphagov/redirector-data/master/oag/trump.csv
scotlandoffice,extras,https://raw.github.com/alphagov/redirector-data/master/scotlandoffice/extras.csv
scotlandoffice,current,https://raw.github.com/alphagov/redirector/master/data/mappings/scotlandoffice.csv
scotlandoffice,trump,https://raw.github.com/alphagov/redirector-data/master/scotlandoffice/trump.csv
treasury,extras,https://raw.github.com/alphagov/redirector-data/master/treasury/extras.csv
treasury,current,https://raw.github.com/alphagov/redirector/master/data/mappings/treasury.csv
treasury,trump,https://raw.github.com/alphagov/redirector-data/master/treasury/trump.csv
ukef,extras,https://raw.github.com/alphagov/redirector-data/master/ukef/extras.csv
ukef,current,https://raw.github.com/alphagov/redirector/master/data/mappings/ukef.csv
ukef,trump,https://raw.github.com/alphagov/redirector-data/master/ukef/trump.csv
walesoffice,extras,https://raw.github.com/alphagov/redirector-data/master/walesoffice/extras.csv
walesoffice,current,https://raw.github.com/alphagov/redirector/master/data/mappings/walesoffice.csv
walesoffice,trump,https://raw.github.com/alphagov/redirector-data/master/walesoffice/trump.csv
walesoffice_cymru,extras,https://raw.github.com/alphagov/redirector-data/master/walesoffice_cymru/extras.csv
walesoffice_cymru,current,https://raw.github.com/alphagov/redirector/master/data/mappings/walesoffice_cymru.csv
walesoffice_cymru,trump,https://raw.github.com/alphagov/redirector-data/master/walesoffice_cymru/trump.csv
