,Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
27,Ministry of Defence | MicroSite | DES,http://www.mod.uk/defenceinternet/microsite/des/defenceequipmentandsupport.htm,http://www.mod.uk/defenceinternet/microsite/des/defenceequipmentandsupport.htm,57948,81445,68,0
28,Ministry of Defence | Freedom of Information | How to make an official request under FOI | Requests for Access to Personal Data Held by the Ministry of Defence,http://www.mod.uk/defenceinternet/freedomofinformation/foicontact/requestsforaccesstopersonaldataheldbytheministryofdefence.htm,http://www.mod.uk/defenceinternet/freedomofinformation/foicontact/requestsforaccesstopersonaldataheldbytheministryofdefence.htm,53725,70166,99,0
29,Ministry of Defence | Defence For... | The Service Community | BFPO | Latest Recommended Posting Dates for Christmas 2011,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/latestrecommendedpostingdatesforchristmas2011.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/latestrecommendedpostingdatesforchristmas2011.htm,50096,53031,117,0
30,Ministry of Defence | Defence For... | Veterans | Medals | MOD Medal Office,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/modmedaloffice.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/modmedaloffice.htm,48306,80184,52,0
31,Ministry of Defence | Defence For... | Veterans,http://www.mod.uk/defenceinternet/defencefor/veterans/haveyouservedinhmarmedforceswedontjustleaveyouonyourownyourstatusasaveteranopensthedoortoawealthofhe.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/haveyouservedinhmarmedforceswedontjustleaveyouonyourownyourstatusasaveteranopensthedoortoawealthofhe.htm,47754,66935,67,0
32,Ministry of Defence | About Defence | Corporate Publications | Personnel Publications | Service Records | Request forms for Service personnel details - next of kin form,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/requestformsforservicepersonneldetailsnextofkinform.htm,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/requestformsforservicepersonneldetailsnextofkinform.htm,47348,71093,163,0
33,Ministry of Defence | Defence News | News Archive,http://www.mod.uk/defenceinternet/defencenews/archive/newsarchive.htm,http://www.mod.uk/defenceinternet/defencenews/archive/newsarchive.htm,43284,116386,47,0
34,Ministry of Defence | About Defence | What we do | Personnel | Armed Forces Pensions Compensation and Veterans | Armed Forces Pensions and Redundancy,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/pensions/armedforcespensionsandredundancy.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/pensions/armedforcespensionsandredundancy.htm,40995,61803,58,0
35,Ministry of Defence | Defence News | People In Defence,http://www.mod.uk/defenceinternet/defencenews/peopleindefence/peopleindefence.htm,http://www.mod.uk/defenceinternet/defencenews/peopleindefence/peopleindefence.htm,36364,45840,30,0
36,Ministry of Defence | MicroSite | Defence Infrastructure Organisation | What We Do | Accommodation | Service Family Accommodation,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/accommodation/servicefamilyaccommodation.htm,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/accommodation/servicefamilyaccommodation.htm,36269,51485,43,0
37,Ministry of Defence | Defence For... | Veterans | Medals,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/britishmedals.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/britishmedals.htm,36108,74451,20,0
38,Ministry of Defence | Defence For... | Jobseekers | Civilian Careers | Graduate Recruitment Programmes,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/graduaterecruitmentprogrammes.htm,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/graduaterecruitmentprogrammes.htm,33339,40726,75,0
39,Ministry of Defence | Fact Sheets | Operations Factsheets | Operations In Afghanistan: British Casualties,http://www.mod.uk/defenceinternet/factsheets/operationsfactsheets/operationsinafghanistanbritishcasualties.htm,http://www.mod.uk/defenceinternet/factsheets/operationsfactsheets/operationsinafghanistanbritishcasualties.htm,33227,40087,90,0
40,Ministry of Defence | Defence For... | The Service Community | BFPO | Lookup BFPO Numbers,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/lookupbfponumbers.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/lookupbfponumbers.htm,33088,43530,57,0
41,Ministry of Defence | Defence For... | The Service Community | HIVE Information Service,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/hive/hiveshortlistpage.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/hive/hiveshortlistpage.htm,29439,42293,78,0
42,Ministry of Defence | Defence News | Defence Policy and Business,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/defencepolicybusinesshome.htm,http://www.mod.uk/defenceinternet/defencenews/defencepolicyandbusiness/defencepolicybusinesshome.htm,28676,36111,26,0
43,Ministry of Defence | Defence News | History and Honour | Operational Honours and Awards List: 23 March 2012,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/operationalhonoursandawardslist23march2012.htm,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/operationalhonoursandawardslist23march2012.htm,27970,32729,197,0
44,Ministry of Defence | Defence News | History and Honour,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/historyandhonour.htm,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/historyandhonour.htm,27819,35732,31,0
45,Ministry of Defence | MicroSite | DBS Civilian HR,http://www.mod.uk/defenceinternet/microsite/pppa/peoplepayandpensionsagency.htm,http://www.mod.uk/defenceinternet/microsite/pppa/peoplepayandpensionsagency.htm,27638,43250,44,0
46,Ministry of Defence | Defence News | Training and Adventure,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/trainingadventure.htm,http://www.mod.uk/defenceinternet/defencenews/trainingandadventure/trainingadventure.htm,25711,33455,21,0
47,Ministry of Defence | Defence For... | The Service Community | BFPO | Enduring Free Mail Service,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/enduringfreemailservice.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/enduringfreemailservice.htm,25639,29766,164,0
48,Ministry of Defence | About Defence | What we do | Personnel | SPVA,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/spva/spva.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/spva/spva.htm,24468,34103,53,0
49,Ministry of Defence | Defence News,http://mod.uk/defenceinternet/defencenews/defencenewshome.htm,http://mod.uk/defenceinternet/defencenews/defencenewshome.htm,24364,43749,49,0
