,Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
89,Ministry of Defence | About Defence | What we do | Air Safety and Aviation | Low Flying | LFAs,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/lowflying/lfas/,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/lowflying/lfas/,16385,30581,21,0
90,Ministry of Defence | Defence For... | Veterans | Medals | World War II Medal Summary,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/worldwariimedalsummary.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/worldwariimedalsummary.htm,16323,29588,62,0
91,Ministry of Defence | Defence For... | Veterans | Medals,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/currentmedals.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/currentmedals.htm,16206,21966,22,0
92,Ministry of Defence | Defence For... | Veterans | Medals | Contacting the Medal Office,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/contactingthemedaloffice.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/contactingthemedaloffice.htm,16149,21632,102,0
93,Ministry of Defence | About Defence | What we do | Security and Intelligence | DBS National Security Vetting,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/dvafrequentlyaskedquestions.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/dvafrequentlyaskedquestions.htm,16053,27156,37,0
94,Ministry of Defence | Defence News | Military Operations | Corporal David O'Connor and Corporal Channing Day killed in Afghanistan,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/corporaldavidoconnorandcorporalchanningdaykilledinafghanistan.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/corporaldavidoconnorandcorporalchanningdaykilledinafghanistan.htm,16040,19411,191,0
95,Ministry of Defence | Defence News | Military Operations | Member of the Royal Air Force dies of wounds sustained in Afghanistan,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/memberoftheroyalairforcediesofwoundssustainedinafghanistan.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/memberoftheroyalairforcediesofwoundssustainedinafghanistan.htm,15937,18169,67,0
96,Ministry of Defence | Defence For... | Business | DSA | Future Sales,http://www.mod.uk/defenceinternet/defencefor/business/dsa/futuresales/list.htm,http://www.mod.uk/defenceinternet/defencefor/business/dsa/futuresales/list.htm,15907,19998,16,0
97,Ministry of Defence | Freedom of Information,http://www.mod.uk/defenceinternet/freedomofinformation/welcometotheministryofdefencemodfreedomofinformationhome.htm,http://www.mod.uk/defenceinternet/freedomofinformation/welcometotheministryofdefencemodfreedomofinformationhome.htm,15907,20781,43,0
98,Ministry of Defence | Defence For... | Veterans | Medals | War Medal,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/warmedal.htm,http://www.mod.uk/defenceinternet/defencefor/veterans/medals/warmedal.htm,15872,28498,49,0
99,Ministry of Defence | About Defence | Corporate Publications | Personnel Publications | Service Records | Request forms for Service personnel details - Army,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/requestformsforservicepersonneldetailsarmy.htm,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/requestformsforservicepersonneldetailsarmy.htm,15644,21400,140,0
100,Ministry of Defence | Contact us | Service Records Enquiries,http://www.mod.uk/defenceinternet/contactus/servicerecordsenquiries.htm,http://www.mod.uk/defenceinternet/contactus/servicerecordsenquiries.htm,15119,20026,127,0
101,Ministry of Defence | MicroSite | DBS Civilian HR | What We Do | People Services for Existing Civilian Employees and their Managers,http://www.mod.uk/defenceinternet/microsite/pppa/whatwedo/peopleservicesforexistingcivilianemployeesandtheirmanagers.htm,http://www.mod.uk/defenceinternet/microsite/pppa/whatwedo/peopleservicesforexistingcivilianemployeesandtheirmanagers.htm,14992,23361,78,0
102,Ministry of Defence | About Defence | What we do | Reserve Forces and Cadets | Reserve Forces | Rod,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/reserveforcesandcadets/reserveforces/rod.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/reserveforcesandcadets/reserveforces/rod.htm,14990,22342,65,0
103,Ministry of Defence | MicroSite | Defence Infrastructure Organisation | Our Publications | Defence Training Estate | Dartmoor Firing Notice,http://www.mod.uk/defenceinternet/microsite/dio/ourpublications/dte/dartmoorfiringnotice.htm,http://www.mod.uk/defenceinternet/microsite/dio/ourpublications/dte/dartmoorfiringnotice.htm,14956,20089,89,0
104,Ministry of Defence | About Defence | What we do | Training and Exercises | Royal College of Defence Studies | RCDSHomePage,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/trainingandexercises/rcds/rcdshomepage.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/trainingandexercises/rcds/rcdshomepage.htm,14639,21673,65,0
